1, আমার ফোনে বাংলালিং থেকে বাংলালিংকে টাকার ওপরে কাটে এর কারন বলতে পারবেন কি? ও হাঁ অন্য কোনো টাকা কম কাটার ওপাই বলেদিন? 
2, লাইন লেখার মধ্যে প্রায় লাইন ঐ শর্ত। এরই নাম বাংলাদেশের মোবাইল কোম্পানি । যেখানে অফারের পেছনে রয়েছে শত শত শর্ত । শর্ত ব্যাতিত আজ পর্যন্ত কোন অফার দেখলাম না । 
3, রিটেইলর রা ব্যবসা করবে না বিকাশকে দিয়েই ব্যবসা করান 
4, আমি তারিখ টাকা রিচাজ করছি আমি কি এ অফার পাব 
6, আল্লাহ চাইলে রাজা বাদশাহ কেও পথের ফকির বানিয়ে দিতে পারেন। 
7, দুঃখ কিছু আর আমাদের কিছুই করার নাই আল্লাহ সুখও দিতে পারে। সবি আল্লার ইচ্ছা 
8, চলে আসুন আমাদের পেজ এ আপনাকে বিনোদন দেয়ার দায়িত্ব আমাদের আর কি চাস? আর কি চাস? 
10, অস্থির একটা ফানি পেইজ আর কি চাস? 
11, যত অবহেলা তত ভালোবাসা।আমারো হ্রদয়ে খুব অসস্তি হচ্ছে।ইচ্ছে করছে আমিইই তাকে ফিরিয়ে আনি। 
12, মানুষকে সব সময় রঙ দিয়ে বিচার করতে নাই।মানুষের মন ও ব্যবহার আসল। 
13, খারাপ লাগলো পড়ে আসলে আমরা আগে বুঝি না কোন জিনিসের মূল্য কিন্তু যখন হারিয়ে যায় তখন বুঝি কি হারিয়েছি। 
14, আমরা সহসাই কাছের মানুটির প্রতি খু উ ব বেশি অবিচার করে ফেলি হয়ত নিজের অজানতেই 
15, সময় চলে গেলে কষ্ট পেয়ে কি লাভ সে য়ে কষ্ট পেয়েছে সেটা তো দুর করতে পারবে না। 
16,কি মধুর তোমার হাসি খানা 
17,সধাই যে মন নিরাশায় মরে 
18,তোমার চোখ দুটু টানা টানা 
19,যারা কবিতা ভালোবাসেন তারা এড হতে পারেন 
20, এখন কি আর করবি হয়ে গেছেত বিবাগী 
21,চল জুয়ার টেবিলে বাজিমাত করে নিয়ে আনবো নতুন স্বপ্নকে 
22, কান্না চলে আসলো।আসলে মানুষ হারানোর পরেই বুঝে।যেমন এখন বুঝেছি আমি। 
23, জানি না গল্প কি না সত্যে তবে হৃদয় ছুঁয়ে গেলো। 
24, ভালোবাসা হারানোর পর ভালোবাসার র্মম বোঝা একেবারেই বোকামি 
25, অসাধারণ একটি গল্প লিখেছেন ভাইয়া 
26, এটাই প্রকৃত ভালবাসা।যা সবার ভাগ্যে জোটে না। 
27, এটা সত্তি এটা আমি পেরেছি ইনশাহআল্লাহ 
28, রঙ কে নয় মন কে ভালবাসা উচিত 
29, সময় থাকতে কদর করলে হয়তো আজ 
30, টাল যুক্ত মাথায় এমন কথা বলা যায়। 
31, মনটা ভরে গেল শেষ অংশটা পড়ে। 
32, হায়রে হতভাগা দাঁত থাকতে দাঁতের মূল্য দিলিনা 
33, সত্যিই অসাধারন হয়েছে ইচ্ছে করছে তাকে ফিরিয়ে আনি 
34, সময় গেলে সাধন হবে না ভাই।কালু মানুষের ওত মন আছে। 
35,অনেক দিন পড় আবার পড়লাম 
36, কুতসিত মনের চেয়ে কুতসিত চেহারা কোটি গুনে ভালো। 
37, লাবের পোষ্ট টুকলি করে ছাড়তে লজ্জা করে না আল বাল সব পোষ্ট করিস তোরা 
38, চোখে জল চলে আসার মতো 
39, এই ধরনের গল্প পোস্ট করা থেকে বিরত থাকুন হার্ট এটাক হতে পারে 
40, সত্যি মনে গেঁথে গেলো।প্রিয়জন হারানো বেদনা শুধুমাত্র প্রিয়জনে বুজে 
41, ভালোবাসা এমনি জার মায়া সিমাহিন। 
42, এখন কেঁদে কোন লাভ নেই। 
43, মনের সুন্দরই আসল সুন্দর শরিরের রং নয় 
44, শেষের দিকটা চোখে পানি আসার মতো 
45, কালো হলেও সে মানুষ যারা কালো রংঙের মানুষকে ভালোবাসতে পারেনা তারা মানুষকে ভালোবাসতে জানেনা 
46, সাদা চামড়া কিছু ছেলেদের পছন্দের বটে 
47, কি লিখব ভাষা খোজে পাই না 
48, চোখের কোনে পানি এসে গেল মনের অজান্তে 
49, মন দিয়ে বিচার করা উচিত 
50, সত্যি এই দরনের গল্প পড়লে গা শিহ রিত হয় 
51, কৃষ্ণকলি আমি তারেই বলি আর কিছু বলার নেই৷ খুব ভালো লাগলো৷ 
52, জনম জনম তব তরে কাদিব। 
53, কিছু লেখার মত ভাষা খুঁজে পাচ্ছিনা। অসম্ভব ভালো লাগছে। 
